faa,name,lat,lon,,,,,,
04G,Lansdowne Airport,41.1304722,-80.6195833,,"("""""",A2,""''"",""="",""''"",B2,""''"")",,"""","04G""= ""Lansdowne Airport ""","""04G""= ""Lansdowne Airport """
06A,Moton Field Municipal Airport,32.4605722,-85.6800278,,''06A''=''Moton Field Municipal Airport'',,"""","06A""= ""Moton Field Municipal Airport ""","""06A""= ""Moton Field Municipal Airport """
06C,Schaumburg Regional,41.9893408,-88.1012428,,''06C''=''Schaumburg Regional'',,"""","06C""= ""Schaumburg Regional ""","""06C""= ""Schaumburg Regional """
06N,Randall Airport,41.431912,-74.3915611,,''06N''=''Randall Airport'',,"""","06N""= ""Randall Airport ""","""06N""= ""Randall Airport """
09J,Jekyll Island Airport,31.0744722,-81.4277778,,''09J''=''Jekyll Island Airport'',,"""","09J""= ""Jekyll Island Airport ""","""09J""= ""Jekyll Island Airport """
0A9,Elizabethton Municipal Airport,36.3712222,-82.1734167,,''0A9''=''Elizabethton Municipal Airport'',,"""","0A9""= ""Elizabethton Municipal Airport ""","""0A9""= ""Elizabethton Municipal Airport """
0G6,Williams County Airport,41.4673056,-84.5067778,,''0G6''=''Williams County Airport'',,"""","0G6""= ""Williams County Airport ""","""0G6""= ""Williams County Airport """
0G7,Finger Lakes Regional Airport,42.8835647,-76.7812318,,''0G7''=''Finger Lakes Regional Airport'',,"""","0G7""= ""Finger Lakes Regional Airport ""","""0G7""= ""Finger Lakes Regional Airport """
0P2,Shoestring Aviation Airfield,39.7948244,-76.6471914,,''0P2''=''Shoestring Aviation Airfield'',,"""","0P2""= ""Shoestring Aviation Airfield ""","""0P2""= ""Shoestring Aviation Airfield """
0S9,Jefferson County Intl,48.0538086,-122.8106436,,''0S9''=''Jefferson County Intl'',,"""","0S9""= ""Jefferson County Intl ""","""0S9""= ""Jefferson County Intl """
0W3,Harford County Airport,39.5668378,-76.2024028,,''0W3''=''Harford County Airport'',,"""","0W3""= ""Harford County Airport ""","""0W3""= ""Harford County Airport """
10C,Galt Field Airport,42.4028889,-88.3751111,,''10C''=''Galt Field Airport'',,"""","10C""= ""Galt Field Airport ""","""10C""= ""Galt Field Airport """
17G,Port Bucyrus-Crawford County Airport,40.7815556,-82.9748056,,''17G''=''Port Bucyrus-Crawford County Airport'',,"""","17G""= ""Port Bucyrus-Crawford County Airport ""","""17G""= ""Port Bucyrus-Crawford County Airport """
19A,Jackson County Airport,34.1758638,-83.5615972,,''19A''=''Jackson County Airport'',,"""","19A""= ""Jackson County Airport ""","""19A""= ""Jackson County Airport """
1A3,Martin Campbell Field Airport,35.0158056,-84.3468333,,''1A3''=''Martin Campbell Field Airport'',,"""","1A3""= ""Martin Campbell Field Airport ""","""1A3""= ""Martin Campbell Field Airport """
1B9,Mansfield Municipal,42.0001331,-71.1967714,,''1B9''=''Mansfield Municipal'',,"""","1B9""= ""Mansfield Municipal ""","""1B9""= ""Mansfield Municipal """
1C9,Frazier Lake Airpark,54.01333333,-124.7683333,,''1C9''=''Frazier Lake Airpark'',,"""","1C9""= ""Frazier Lake Airpark ""","""1C9""= ""Frazier Lake Airpark """
1CS,Clow International Airport,41.6959744,-88.1292306,,''1CS''=''Clow International Airport'',,"""","1CS""= ""Clow International Airport ""","""1CS""= ""Clow International Airport """
1G3,Kent State Airport,41.1513889,-81.4151111,,''1G3''=''Kent State Airport'',,"""","1G3""= ""Kent State Airport ""","""1G3""= ""Kent State Airport """
1OH,Fortman Airport,40.5553253,-84.3866186,,''1OH''=''Fortman Airport'',,"""","1OH""= ""Fortman Airport ""","""1OH""= ""Fortman Airport """
1RL,Point Roberts Airpark,48.9797222,-123.0788889,,''1RL''=''Point Roberts Airpark'',,"""","1RL""= ""Point Roberts Airpark ""","""1RL""= ""Point Roberts Airpark """
24C,Lowell City Airport,42.95392,-85.3439058,,''24C''=''Lowell City Airport'',,"""","24C""= ""Lowell City Airport ""","""24C""= ""Lowell City Airport """
24J,Suwannee County Airport,30.300125,-83.0246944,,''24J''=''Suwannee County Airport'',,"""","24J""= ""Suwannee County Airport ""","""24J""= ""Suwannee County Airport """
